영화관명,브랜드명,영업상태명,영화관지역명,광역단체,기초단체,번지명,도로명,x(epsg5174),y(epsg5174),lat_wgs84,lon_wgs84
성남중앙(신흥역),롯데시네마,영업,경기/인천,경기도,수원시,경기도 성남시 수정구 신흥동 4124 신흥역 시네마타워,"경기도 성남시 수정구 산성대로 267, 신흥역 시네마타워 8-11층 (신흥동)",212889.7803,437694.3048,37.4413240031714,127.146446763662
센트럴락,롯데시네마,영업,경기/인천,경기도,안산시,경기도 안산시 단원구 고잔동 539-2 조이월드상가 901호,"경기도 안산시 단원구 고잔로 108, 901호 (고잔동,조이월드상가)",185503.8076608489,424097.43542059127,37.3185731848194,126.838037384741
송탄,롯데시네마,영업,경기/인천,경기도,평택시,경기도 평택시 서정동 818-36,경기도 평택시 관광특구로 19 (서정동),205355.9942,396167.9982,37.0672512623234,127.060907834839
수원(수원역),롯데시네마,영업,경기/인천,경기도,수원시,경기도 수원시 권선구 서둔동 296-77 롯데몰,"경기도 수원시 권선구 세화로 134 (서둔동, 롯데몰)",199673.3786,418025.5478,37.264162726921,126.997385539043
수지,롯데시네마,영업,경기/인천,경기도,용인시,경기도 용인시 수지구 성복동 23 롯데몰성복점,"경기도 용인시 수지구 성복2로 38, 롯데몰성복점 5층 (성복동)",207273.4907,423410.2183,37.3127975899328,127.081666875865
시화(정왕역),롯데시네마,영업,경기/인천,경기도,시흥시,경기도 시흥시 정왕동 2327-2 외1필지 4층,"경기도 시흥시 마유로418번길 10 (정왕동,외1필지 4층)",177047.2889,427744.5565,37.3514020956173,126.74185573009
시흥장현,롯데시네마,영업,경기/인천,경기도,시흥시,경기도 시흥시 능곡동 235-1 시흥 플랑드르,"경기도 시흥시 장현능곡로 155, 시흥 플랑드르 6층 (능곡동)",182798.9082341132,429920.88573894085,37.3710521503438,126.807314112056
안산,롯데시네마,영업,경기/인천,경기도,안산시,경기도 안산시 단원구 고잔동 717-2,경기도 안산시 단원구 광덕대로 137 (고잔동),186396.07245345347,423947.2300486459,37.3087905401283,126.82892125654
안산고잔,롯데시네마,영업,경기/인천,경기도,안산시,경기도 안산시 단원구 고잔동 717-2,경기도 안산시 단원구 광덕대로 137 (고잔동),184763.8988,422990.5098,37.3087905401283,126.82892125654
안성,롯데시네마,영업,경기/인천,경기도,안성시,경기도 안성시 공도읍 양기리 306,경기도 안성시 공도읍 서동대로 4478,215180.68410070345,385324.9505105129,37.0077813413077,127.199509339455
안양(안양역),롯데시네마,영업,경기/인천,경기도,안양시,경기 안양시 만안구 안양동 676-1,경기도 안양시 만안구 안양로 311,192938.0,433373.8,37.3996183920299,126.920196231308
안양일번가,롯데시네마,영업,경기/인천,경기도,안양시,경기도 안양시 만안구 안양동 676-1 PROJECT 500 TOWER,"경기도 안양시 만안구 안양로 311, PROJECT 500 TOWER 9~13층 (안양동)",192868.03983679012,433068.5510088893,37.3996183920299,126.920196231308
용인기흥,롯데시네마,영업,경기/인천,경기도,용인시,경기도 용인시 기흥구 구갈동 234 힐스테이트 기흥,"경기도 용인시 기흥구 기흥역로 63, 102동 5층 (구갈동, 힐스테이트 기흥)",210943.16943742213,418440.9445295884,37.274842769629,127.118778508807
용인역북,롯데시네마,영업,경기/인천,경기도,용인시,경기도 용인시 처인구 역북동 510,"경기도 용인시 처인구 중부대로 1294, 5층 (역북동)",216638.1962,414851.808,37.235473912519,127.188304185908
위례,롯데시네마,영업,경기/인천,경기도,성남시,경기도 성남시 수정구 창곡동 23-4 위례한화오벨리스크센트럴스퀘어 지하1층,"경기도 성남시 수정구 위례광장로 104, 지하1층 (창곡동, 위례한화오벨리스크센트럴스퀘어)",212425.5601,441216.3704,37.4730513390026,127.141262948182
의정부민락,롯데시네마,영업,경기/인천,경기도,의정부시,"경기도 의정부시 민락동 804-6 해동타워 8,9층","경기도 의정부시 천보로 44 (민락동, 해동타워 8,9층)",208436.8809,471310.7075,37.7443143507212,127.096320882214
인덕원,롯데시네마,영업,경기/인천,경기도,안양시,경기도 안양시 동안구 관양동 1502-6 아이퍼스트타워,경기도 안양시 동안구 흥안대로 519,0.0,0.0,37.400316162886,126.976163408373
인천아시아드,롯데시네마,영업,경기/인천,인천광역시,서구,인천광역시 서구 연희동 378 인천아시아드주경기장,"인천광역시 서구 봉수대로 806, 인천아시아드주경기장 (연희동)",170234.0162,449416.8783,37.5451869669172,126.665099552628
인천터미널,롯데시네마,영업,경기/인천,인천광역시,미추홀구,인천광역시 미추홀구 관교동 15 지하1층,"인천광역시 미추홀구 연남로 35, 지하1층 (관교동)",173499.2673,437739.3214,37.4425062298688,126.701518656221
진접,롯데시네마,영업,경기/인천,경기도,남양주시,경기도 남양주시 진접읍 금곡리 1081-2 래일스타 10층,경기도 남양주시 진접읍 해밀예당1로 36 (래일스타 10층),216390.2001,467747.2198,37.7120086416181,127.186674727016
파주롯데아울렛,롯데시네마,영업,경기/인천,경기도,파주시,경기도 파주시 문발동 644 롯데프리미엄아울렛,"경기도 파주시 문발로 284, 롯데프리미엄아울렛 B동 4층 (문발동)",172871.0405499277,468420.6660188864,37.7180926232465,126.692549074164
파주야당,롯데시네마,영업,경기/인천,경기도,파주시,경기도 파주시 야당동 1066,"경기도 파주시 경의로 1074, 601호 (야당동)",178762.9444,467888.442,37.7131570773604,126.759892016322
